,overall_token_importance
[CLS],-8.710041474798176e-08
la,8.265353573554899e-08
##ton,-1.7685500286714427e-07
##ya,-1.5598408725148046e-07
williams,-2.315475516041012e-08
is,-1.2596920981988533e-07
a,-2.1599983594797896e-07
motivated,-2.9154414541864013e-07
and,-1.8316471584159363e-07
enthusiastic,-1.0095549612229154e-07
health,-2.8510685890398763e-07
advocate,-1.2614871009513345e-07
with,-1.9457707029473258e-07
excellent,-1.1167592309088432e-07
communication,4.283642115465331e-09
and,-5.603478666013943e-08
active,-1.8785646282845636e-08
listening,-1.0006851634218044e-07
skills,-1.909284541348634e-07
.,-4.5751595119839795e-08
she,-4.209606962513691e-08
has,-1.402363381386267e-07
a,-7.054785630918085e-08
strong,-3.5974224082426815e-08
background,-2.2963496924235518e-07
in,8.624950209581213e-09
assisting,-6.516768267999134e-08
patients,3.193810348887945e-08
in,-4.281046793685253e-08
understanding,-5.5979556743389546e-08
their,1.562414061995848e-08
rights,-4.51376718868672e-08
and,-5.42716080170664e-08
responsibilities,-6.4793512896848435e-09
regarding,4.8045054479776205e-08
care,-1.0245087747749456e-08
",",1.9034229857273847e-07
coverage,9.132972902328964e-08
",",1.8476715112024696e-07
and,9.88303477564868e-09
payment,9.503437698261988e-08
.,-4.6688046050094775e-08
with,9.93816111003162e-08
experience,-1.228000667949096e-07
in,6.639414065906246e-08
both,1.5130717232380456e-07
health,-9.490738174608841e-08
advocacy,-5.537027334057161e-08
and,1.427981822501291e-07
security,6.599357476226445e-08
roles,8.420219410011034e-09
",",7.601848097003257e-08
la,-2.3793744795423487e-08
##ton,-1.9519457193797996e-07
##ya,3.050204187922315e-09
has,-1.0675693821330127e-07
demonstrated,-1.1711200735005549e-07
skills,-1.547879550378308e-07
in,1.8407546694161923e-08
public,-7.28246160948179e-08
safety,-8.340312506491615e-08
",",1.9153677971835024e-07
administrative,-9.411069397931527e-08
support,-5.484902692170527e-08
",",1.4810518404401924e-07
crisis,-1.7316443056100294e-07
intervention,-7.824991057591188e-08
",",-3.957003443738289e-08
and,2.6255886837891315e-08
decision,-1.9263494823745727e-07
-,-2.1386876231560347e-07
making,-1.9534627508951468e-07
.,-4.0652747673669115e-08
she,-6.100343469354391e-08
is,-9.96066346591481e-08
proficient,-8.097742517702838e-08
in,7.447397880616679e-08
l,1.9604520562818005e-08
##yte,-1.2285042845607466e-07
##c,2.994733891834575e-08
and,7.042700733592883e-08
gs,3.573635847247852e-08
##uit,-1.307505225208761e-07
##e,7.625227558778614e-08
",",3.296070949253013e-08
with,-1.3154721197568063e-07
a,-8.137230260040062e-08
focus,-4.36393823591473e-08
on,-6.568282664470401e-08
patient,-5.1302675256657215e-08
rights,-1.2445086713626905e-08
and,-2.1249454875232063e-09
data,-7.021573246456782e-08
entry,1.4252383641382128e-07
.,-4.839657531813025e-08
la,-2.4664122019948226e-08
##ton,-2.0359042014301386e-07
##ya,-8.050610268187839e-08
has,-1.3877608906974565e-07
been,-6.79745294397246e-08
praised,-8.384240184598562e-08
for,1.6923437712505824e-08
her,4.0404242462779376e-08
ability,-9.44547626526938e-08
to,6.12187418607385e-08
quickly,5.0393228334402916e-08
learn,-1.9461631403054263e-08
and,-1.5152044616896732e-08
master,-2.491607046431492e-08
new,4.627590202731928e-08
concepts,2.0142116103783542e-08
and,-3.730148103348051e-08
skills,-1.259681230773875e-07
",",1.1045274051547556e-07
and,-1.7707049158657626e-07
is,-1.468553689918187e-07
known,-2.7371963330723646e-07
for,-6.742268524549728e-08
her,-5.247176383440014e-08
friendly,-6.317415849916881e-08
and,-2.0396475240938385e-07
approach,-2.123713447577326e-07
##able,-1.158030963182123e-07
demeanor,-2.268995108249867e-07
.,-4.7354754525743706e-08
she,-7.56704152642281e-08
holds,-2.5775890405239486e-07
a,-2.1913516901433726e-07
bachelor,-7.318651170181393e-08
of,3.902693749873029e-08
science,-1.3435991587076933e-07
in,4.781452496028995e-09
psychology,-1.3540640930388891e-07
and,-1.918897585701049e-07
is,-5.865584244101016e-08
cp,-1.9182674883346912e-07
##r,-1.2094572636556795e-07
certified,-1.2908602678700307e-07
with,-4.480225190337422e-09
first,-1.1658848727576938e-07
aid,-1.8716660606390008e-07
training,-1.7353133422488258e-07
.,5.163468309791517e-10
[SEP],-1.4667377127083508e-07
RACE,1.139635137370476e-07
GENDER,-9.378436280904624e-07
PARTY,1.5445076417819337e-07
