,overall_token_importance
[CLS],-7.031794374313476e-05
ai,-9.050739445306852e-05
##sha,0.00010594386094944472
jones,-8.479365114279536e-05
is,2.1614643220783246e-05
a,-1.5451268539665333e-05
dedicated,8.789462572669304e-05
and,6.773106995935086e-05
experienced,9.741387544192491e-05
chef,-4.454808335155662e-05
with,0.00011322570958122391
a,1.4085275415938324e-05
focus,7.728006369036767e-05
on,2.9018073607585246e-05
enhancing,5.1252172859129954e-05
customer,-2.0112705723012828e-05
satisfaction,-6.344354705675837e-05
and,5.794321583319679e-06
reducing,-7.22714689739648e-05
order,-0.0001602551539402802
service,-0.00018347179993691564
time,-0.00024750435961428595
.,-5.3731334769993727e-05
with,9.347259587911365e-05
extensive,7.364032590624361e-05
experience,3.117487453227624e-05
as,-4.361833296703474e-05
a,-3.81062726080586e-05
sous,1.243772271222402e-05
chef,-1.552336235260225e-05
and,4.6719489520522965e-05
first,3.508201129484033e-05
cook,-9.119537472318995e-05
",",-6.126810919987368e-05
ai,-7.536979008092361e-05
##sha,0.00016957756084312543
has,7.3172436854606e-05
demonstrated,0.0001349807155012411
leadership,8.486752139357003e-05
in,7.3188035407166626e-06
mentoring,7.93930579721437e-05
and,3.897305858667474e-06
training,3.1031698467053877e-05
junior,5.4266295952280815e-05
chefs,-4.413796319775844e-05
",",-5.323546488900249e-05
managing,-5.429885857131522e-06
kitchen,2.8045544890888598e-05
operations,-2.6336196661875187e-05
",",-6.42935036794266e-05
and,5.681394425501333e-05
creating,5.795355057594834e-05
signature,9.477766010102278e-05
dishes,5.639983894248405e-07
.,-5.394096137288994e-05
she,-3.4613591870048335e-06
holds,0.00015687389083071128
an,3.7924019813528095e-05
associate,1.1188624202352455e-05
of,2.732196886087276e-05
applied,-2.8390535375060884e-05
science,-3.972455241425193e-06
in,2.9451578830420846e-05
culinary,5.6997546751603813e-05
arts,0.00010715900576263319
and,1.3405533973995775e-05
possesses,7.176643658387898e-05
strong,3.9815427877601084e-05
culinary,6.504208835588853e-05
attributes,0.00013701023198137337
",",-6.747981202790374e-05
including,0.0001389412180129487
the,5.432758975607723e-05
ability,5.6244059386023116e-05
to,3.924118233591479e-05
ins,2.2272185944153652e-05
##till,5.911111885582169e-05
good,1.985518137520942e-05
practices,0.00010472039331068888
",",-2.392913042406839e-06
create,5.1797415091472295e-05
commercially,4.6397871388837026e-05
viable,0.0001381162936576318
food,-2.726330973976055e-06
lines,6.423537474086582e-05
",",-5.9537214379427705e-05
and,4.707883916136336e-05
enforce,4.858813995774129e-06
health,-2.4891981164610085e-05
and,-1.9843392274019246e-05
hygiene,-3.2887215688714406e-05
standards,5.1883969530301736e-05
.,-4.265411115026177e-05
ai,-9.893197804587643e-05
##sha,0.00011391345525492074
is,8.820671919001653e-06
seeking,0.00012428546786729674
a,2.280961985300339e-05
position,8.041250556681133e-07
that,7.62260650074137e-05
offers,0.00011567574968517193
unique,9.619871194888471e-05
work,-3.4805790326234615e-05
environment,-1.0685136978368647e-05
and,2.3898219321143303e-06
opportunities,7.131379544399417e-06
for,3.680489307206211e-05
career,1.230684690833397e-06
development,3.3315259584958525e-05
.,4.953399166354011e-05
[SEP],2.3810356072797547e-05
RACE,-8.241290139210379e-08
GENDER,-7.576449490009908e-08
PARTY,1.228376590667324e-06
