,overall_token_importance
[CLS],-3.6334530593546486e-06
ha,5.437573358083287e-06
##kim,1.105278809061323e-05
jones,-3.62755554347158e-06
is,4.814980820540168e-06
a,2.1408877044601858e-06
highly,1.0923264895367971e-06
motivated,-4.7175602137329886e-07
teaching,9.293016075728547e-07
professional,4.159610930035404e-06
with,-5.004222360584125e-06
over,1.0469896758132875e-07
10,-8.088480331229599e-07
years,-1.6776789896876833e-06
of,-6.7505062283580105e-06
experience,4.636889009199685e-06
in,1.9427206516192557e-06
early,-2.7339447576774936e-06
childhood,6.35562245787291e-06
education,-1.632629345930939e-06
.,1.1784423453271241e-06
he,1.4663980704997488e-06
holds,-4.284943866128888e-06
a,1.5228860669186881e-07
certification,2.5352268678410165e-05
in,3.6840958271805245e-06
early,-3.8241416508475366e-06
childhood,4.79170272349703e-06
education,-4.880301466099192e-06
and,-7.187450351778593e-06
is,1.729605931082898e-06
proficient,1.5613237070276094e-05
in,1.3562419113196236e-06
microsoft,1.1241335837559657e-07
office,-8.290076151930768e-06
",",-3.844218617400019e-06
project,3.913224814818085e-06
management,-5.419667946821003e-06
",",-1.1215022885996412e-05
and,1.946270868396642e-06
communication,1.65478306467192e-06
.,9.564789067704542e-07
ha,1.8217214138802493e-07
##kim,8.068432438843699e-06
has,-3.083910750253128e-06
experience,6.034111072246118e-06
in,5.399959738458097e-06
project,1.7918032300591928e-06
coordination,-1.368035270991327e-05
",",8.037984050542272e-07
administrative,-1.2927479963085264e-05
support,-1.1488958026005675e-05
",",-1.1643943671658273e-05
and,1.8663099209996537e-06
working,5.233681858857578e-06
with,-3.549739340102381e-07
young,7.700581074237385e-06
children,1.1199842284725325e-05
and,-5.489068065533515e-06
parents,8.79886902452428e-06
.,1.0966211765140744e-06
he,8.001448684891868e-07
is,1.6786998308764552e-06
bilingual,2.2248226714943474e-05
in,4.273698006443138e-06
english,1.4444074570946778e-05
and,4.767104229636894e-06
spanish,2.1053572791862376e-05
",",-9.915252297364548e-06
loves,4.51521060536114e-06
working,6.218821081368649e-06
with,2.934667372614344e-06
children,1.2634421171890339e-05
",",-1.1164744059055265e-05
and,-5.305350669414578e-06
is,3.1746596907940167e-06
adept,1.4586306535182658e-05
at,-1.282276693509721e-06
working,3.2478971080097675e-06
with,1.3599856945981936e-06
special,2.2143309761911447e-06
needs,9.100045939686208e-07
children,1.2706843912632006e-05
.,1.0918430297910635e-06
ha,6.352782702331724e-06
##kim,9.884023051284684e-06
has,-3.0171647442921917e-06
a,-3.2787560362214204e-06
background,8.247943734199424e-06
in,-1.4453067192577388e-07
course,9.258276047137013e-06
planning,4.562551174096688e-07
",",-2.4215712359140567e-06
art,1.022234758936359e-05
design,5.060647196370896e-07
",",-1.2548449257019999e-05
and,-7.3066355066284225e-06
is,4.382665939937518e-06
an,8.894910677761398e-07
energetic,8.38699919461063e-06
care,3.946458106251237e-06
##gi,5.4516486556817756e-06
##ver,6.833547272577547e-06
.,7.706211051557146e-07
he,2.732995894475085e-06
is,6.314331650620607e-06
emotionally,1.8830819541094833e-05
supportive,1.7205960011241304e-05
",",2.5767023987476614e-06
friendly,1.7414127195015926e-05
",",4.461720055610494e-06
depend,1.9809324097285975e-05
##able,1.4766257471849644e-05
",",-1.3123060259455882e-05
and,5.929420738352115e-06
calm,1.598009703220799e-05
under,1.1107900549420036e-05
pressure,1.6905221592907303e-06
.,1.023837292053349e-06
ha,3.9402606129466e-06
##kim,1.1057835782595729e-05
',2.554595148914243e-06
s,2.243762813650753e-06
work,5.2676348784355755e-06
history,7.68983679114082e-06
includes,7.73295943446358e-06
roles,2.7833246434243244e-06
as,2.267834380747258e-06
a,1.8995396269216376e-06
teacher,2.0041795012556463e-07
and,-6.924498054442157e-06
teacher,1.4939421684650671e-06
aid,-1.184096214314815e-05
",",-4.2625843151368335e-06
where,-3.340995380674708e-06
he,8.992013310000099e-07
provided,1.8346173177258304e-06
advanced,-4.424600949228356e-06
administrative,-1.0519956853609921e-05
support,-3.070948015703513e-06
",",2.4467600562555168e-06
project,4.3572854729627355e-06
coordination,-1.5065624872878007e-05
",",-7.556219819290472e-06
and,1.4212183759449725e-06
managed,-3.6799771355488173e-06
activities,6.3498148162072725e-06
for,1.1167381777560408e-05
children,1.562866620651503e-05
.,1.292487917584544e-06
he,1.5577545125813482e-06
holds,-7.840275643672165e-06
an,-5.118959898385985e-06
associate,9.606000206532573e-07
of,6.155640128003928e-06
applied,2.3302633608500255e-07
science,1.1478440134839838e-05
in,5.361050229021851e-06
early,-4.61277894966688e-06
childhood,6.9847037211174204e-06
education,-1.651139489699388e-06
from,-5.922070715926491e-06
st,7.250414632208299e-06
.,4.473801243044675e-06
augustine,-2.7529089931288234e-06
college,1.85474971628115e-05
.,1.1531599759730384e-06
ha,4.693485925443555e-06
##kim,8.886700338136297e-06
',3.620327626319452e-06
s,4.174402376118494e-06
skills,1.3877632043357772e-05
include,4.787000683480798e-06
administrative,-5.96182703683904e-06
support,-4.649353521855592e-06
",",2.316788747190669e-06
project,5.957358294697937e-06
management,-2.959680339102145e-06
",",1.9671759320170088e-06
problem,1.2241615061937052e-05
-,1.1157455439134658e-05
solving,1.1522591739145554e-05
",",-8.082443877651491e-06
and,6.288309676557103e-06
client,-1.1371070549427657e-06
communication,8.256952945844361e-06
.,7.87028771246579e-06
[SEP],2.8518307535433246e-06
RACE,-4.892198184336394e-07
GENDER,2.290802325610741e-09
PARTY,1.464556902419645e-07
