,overall_token_importance
[CLS],1.049521525680695e-06
la,1.5892780165418608e-06
##toy,3.9760135517587605e-06
##a,5.1420903238436135e-06
williams,-1.5877945076346877e-06
is,4.529667111656286e-06
an,1.8534431615754391e-06
experienced,1.3910277177572112e-06
adjunct,3.15557963034989e-06
information,3.3889743046604515e-06
technology,4.455420568815632e-06
instructor,7.78013662199279e-06
with,-9.778989222792463e-07
a,1.8862785785489742e-06
strong,3.2920403031567034e-06
background,2.2550089171761173e-06
in,-3.208289024154493e-06
teaching,2.97746046917488e-06
python,-1.0188057305915463e-06
",",2.639641279817062e-06
visual,3.113476881274747e-06
basic,3.0369550397764543e-06
",",5.865494180039268e-06
and,1.7968908072724277e-06
c,5.728384837355605e-06
#,4.897262341786051e-06
programming,1.675053555296181e-06
languages,-5.5666579114994086e-08
.,4.525457446023243e-06
she,7.051361513568577e-06
has,4.961312923074394e-06
also,4.06555654634732e-06
served,-7.071720307123048e-07
as,4.79569664421606e-06
an,3.711444284330417e-06
information,1.3783728130367057e-06
technology,4.1711135210306685e-06
instructor,5.826269718054053e-06
and,1.7501063059384478e-06
school,5.649495358515332e-06
technology,9.342459980880975e-07
coordinator,2.1212760616508718e-06
",",2.2023899045542053e-06
where,-1.6864619403918727e-06
she,4.540057124621394e-06
instructed,6.024389704999213e-07
classes,3.891922857847485e-06
on,3.834629432708659e-07
a,6.349895407280643e-06
+,2.9867667128586096e-08
certification,4.4710384730092345e-06
",",2.4192162969219224e-06
cisco,3.9353230209145655e-06
certification,3.759047782581624e-06
",",-5.826178863478756e-07
web,4.130469059051364e-06
design,2.732967554151119e-06
",",1.9245150740471194e-06
programming,1.3607260893453504e-06
",",2.9483423472578734e-06
game,5.238086110047219e-06
design,3.845822350163908e-06
",",7.824671596580318e-06
and,3.5384792641987095e-06
help,1.2452728835460103e-06
desk,3.872129229680865e-06
.,3.9749375307308076e-06
la,4.916754196255608e-07
##toy,2.839815663584289e-06
##a,5.272051978815308e-06
has,6.7948805179992595e-06
a,6.027408904626745e-06
master,5.127226672074073e-06
of,5.0587347402775214e-08
science,5.8023068623923465e-06
in,-1.4783902050270706e-06
computer,5.283500867111846e-06
information,3.397897113742566e-06
systems,2.6245446841593844e-06
with,-9.449806507705122e-07
a,2.717331167302783e-06
project,3.2446478686723403e-06
management,4.386513562386822e-07
and,5.287756361652336e-07
data,1.3470241781417245e-06
analysis,1.5103259790701484e-06
emphasis,-2.980637854915464e-06
",",7.32433276704291e-06
as,2.769908055233808e-06
well,6.808741306232091e-06
as,8.44335759108057e-06
a,5.123255995338256e-06
master,6.5411247800765155e-06
of,1.1555317764432151e-06
arts,3.6924969034591555e-06
in,-5.37229675946897e-07
education,3.6968558422367853e-06
with,-4.799957144192564e-07
an,3.265159343920771e-06
educational,1.6187037885822613e-06
technology,1.263145106665009e-06
emphasis,-2.8195995110201917e-06
.,4.207128142307884e-06
she,6.885632936212459e-06
holds,5.7449991640490415e-06
various,3.2983193679829228e-06
information,4.793282150697042e-06
technology,4.391498419677892e-06
certification,-2.6357482751180047e-06
##s,-2.8496764115902694e-06
",",2.419217401807124e-06
including,1.6984206814668668e-07
com,9.258554764881979e-06
##pt,-3.2566979645254517e-07
##ia,4.8963926265186175e-06
-,-1.0511812558228028e-06
strata,3.499887293342041e-06
it,4.632617587211356e-06
fundamental,3.5088317210972215e-06
##s,-5.297542909673052e-07
and,2.3544827838886485e-06
microsoft,8.007686213985811e-06
technology,6.006680516406432e-06
associate,4.663574830279039e-06
in,-3.871176410456673e-06
network,5.475600166741898e-06
fundamental,4.149532698851021e-06
##s,1.3482945667297556e-06
",",1.4511967032823478e-06
windows,6.571476205421564e-06
o,1.2323643855608757e-05
.,3.8658396458187285e-06
s,1.1278434283538448e-05
.,5.295792998573496e-06
fundamental,5.620714059961883e-06
##s,7.14980083298711e-08
",",7.695513906178919e-07
software,3.397668522945022e-06
development,1.57458085738345e-06
",",8.05903341495396e-06
and,1.1950373813921546e-06
web,4.045534873938862e-06
development,1.6557098090462118e-06
.,4.662452791180516e-06
la,-1.3376650813171965e-06
##toy,1.4372329784234516e-06
##a,3.602459034665717e-06
is,2.7190658528060066e-06
skilled,2.1331039739629315e-06
in,-4.9799085597655465e-06
google,3.711628488688989e-06
and,2.162197830046018e-06
microsoft,5.239680773725852e-06
suite,4.223100775978227e-06
",",1.243178386621553e-06
project,-4.975073491559814e-07
management,-2.7201999883741313e-06
",",6.470854988653803e-06
and,2.4762380919972715e-06
educating,-2.1126278102716534e-06
teachers,2.281162242391868e-06
on,-3.4614101242452553e-06
technology,3.7787439001370503e-06
use,1.3712855743576506e-06
in,-3.3724516852607874e-07
the,6.255949288596925e-06
classroom,3.827783317825286e-06
.,4.130102262616426e-06
she,5.316863076924454e-06
has,3.3109154993824726e-06
received,-8.42901256349232e-07
awards,-2.3692199895571835e-06
such,-2.0063018239436e-06
as,2.142616659562234e-06
the,-3.462531754397328e-07
kentucky,9.375242464163415e-07
colonel,2.0670651725663834e-06
award,-1.5715405481725514e-06
and,1.0801552014777665e-06
has,1.8073516161527369e-06
volunteered,-3.138061193333821e-07
on,-3.46131068801217e-06
the,-4.582253691519972e-08
hc,1.8700194719665047e-06
##hs,4.018642824890049e-06
curriculum,4.3360104375333454e-06
committee,-7.614890678141868e-07
as,2.7179864576035927e-06
vice,4.762688158382036e-06
chair,1.5753573485250281e-06
.,4.079798726029718e-06
[SEP],1.8515891848354726e-06
RACE,-1.0818179951854745e-07
GENDER,-2.552836853020324e-08
PARTY,1.557327600210101e-09
