,overall_token_importance
[CLS],7.644807711488999
neil,-10.664235494127919
walsh,5.224277904795601
is,-11.128063206108083
an,-11.336668382642202
experienced,11.429109275094621
information,92.44510008902915
technology,128.21753408227735
specialist,51.8443760940074
with,7.90921752176343
over,24.06972006416011
twelve,3.5854313752869893
years,3.475145880227856
of,-2.309893769308154
experience,5.823718771512651
providing,0.16850656592229646
consulting,25.033866216300446
and,-21.59388284498356
technical,66.61398186151979
assistance,0.9553846554626981
to,-13.058897055605373
home,28.168968068978383
and,-6.4795006509694035
business,26.07049746429107
end,39.0532481982494
users,38.65980848705574
.,-6.354977115036192
he,-10.591436682092368
is,-9.436686597254766
skilled,-3.1181442477664705
in,-28.05070836161589
installing,43.71637221038527
",",14.39964092792995
repairing,21.547258857427682
",",50.45693284713611
and,3.775820318163569
maintaining,29.80981408202037
point,25.586919852956495
of,40.831888218183735
sale,13.37053395477827
register,21.99378741197177
equipment,27.69236477260278
",",34.002422534886115
servers,29.77690159064466
",",32.534170800880815
networking,26.86596161983035
",",14.315997653369227
and,18.820265935531715
related,63.1661469264358
peripheral,51.24312217431483
##s,55.724818191285244
.,-5.633331069163557
neil,-18.841708245100094
is,-15.939942068231826
professionally,11.149923081220772
certified,4.8202003735702075
by,-19.69699448189261
com,19.32332433475857
##pt,-5.769337268450425
##ia,-4.932107251828612
",",-11.835083264169192
lex,-2.004809318995042
##mark,-9.260131637671781
",",-14.672843277945459
he,4.4786794770707115
##wl,-4.382912701747885
##ett,8.099036754735462
packard,26.694570066508422
",",-16.234252184408202
microsoft,16.30762406284194
",",-14.638995065763604
fuji,8.201245326074982
##tsu,-6.785628267559265
",",-8.68827172034898
ic,-8.959764237304755
##³,-25.714174516917986
",",-10.74898564294232
the,-4.945227326156427
eta,-21.208781318351132
",",-11.18051161198476
fe,-26.031008137576332
##ma,-21.393594637055905
",",2.5287060265650525
and,-1.8253043549482522
other,-11.51762490434804
bodies,-8.842247107044809
.,-6.290666181676907
he,1.6190962363385109
has,-0.3845063313954107
received,8.227642157324347
multiple,6.682837554482528
technical,56.08375023760454
awards,7.000529094962719
for,-6.114975025890216
work,26.753837630517967
performance,0.6348028609474541
and,-11.098603663791055
consistently,-5.901390616467887
achieved,2.935396208769695
a,-8.924633399484412
100,8.665653793974421
%,-33.27785705347507
rate,-13.886679288466404
of,-6.245749315025064
customer,9.31660712831204
satisfaction,-5.713877315137385
.,-6.478844635712601
neil,-24.78596474030495
has,-17.8453115624098
experience,11.016831090907488
as,-28.215793987612866
an,-21.93103758280923
it,78.24249470713605
systems,73.31451087437105
administrator,20.547052252304145
",",-12.306012168414329
field,24.563497024929475
service,52.33515567110318
technician,25.378453078497873
",",-12.41603322351028
ko,-17.430130089345774
##dak,-15.486556878475673
imaging,18.090269153478577
expert,25.206020283991005
",",-12.717697773311514
mer,10.927686189065431
##chan,12.987177832523457
##dis,-16.26111532202372
##ing,-4.635895047547756
/,-0.3764374403631185
marketing,21.572639653280056
specialist,24.280919153640472
",",-12.476155813514067
digital,22.79586607346829
imaging,14.27658546705027
specialist,23.66932665786566
",",35.272944905245325
and,-14.051997390806111
business,34.519202146218355
machines,34.54250078895177
sales,31.538751373728342
associate,5.696718257723319
.,-6.691898802567173
he,-15.439353982719744
holds,-24.436075568069107
a,-16.312859708745876
ge,16.45282900274774
in,-23.16209292209499
residential,-1.7412639531994596
energy,-1.6976237921035557
auditor,15.208265362736853
",",-10.300399109699901
an,-16.799760611275218
undergraduate,15.257023281798919
certificate,9.184159692803053
in,-28.51877828539518
computer,63.01041743380545
information,71.20418642640281
management,57.33084624212552
",",7.811023398809406
and,-25.386024563234603
an,-22.892701516577734
associate,2.829964126159254
of,-0.16794154213903875
arts,36.64144774875272
and,6.64230799254315
sciences,17.842659612094312
in,-21.570866059740982
business,44.83722309609113
administration,22.52256669139872
.,-5.483279125111311
neil,-22.237007421608197
',-14.452392350190719
s,-20.153584060192923
skills,-4.753168983708976
include,-26.520845799693248
sales,23.031560876082747
software,49.35290801771495
",",7.981454160129679
cm,27.97749213034246
##s,31.450639860852828
",",0.7174280321638856
desktop,25.473898627821008
publishing,13.90284688553746
software,50.43559994130821
",",-8.656775086611958
hardware,71.53544168859301
repair,23.642659093696476
",",-10.337159975516927
desktop,23.94814041650914
support,36.82546566112751
",",32.16934529591487
and,-14.746247863173846
training,10.67546514596073
.,-7.221613199161
[SEP],0.2826974887408408
RACE=0,8.726537070947458
GENDER=0,8.726537070947458
PARTY=1,8.542140237766077
