,overall_token_importance
[CLS],-40.83550044123182
sure,-41.48291717410288
!,3.9859071068684817
please,-26.13748035163022
provide,-22.60074540326606
the,-14.530540451868482
details,-12.430665967311993
from,-15.390977164691614
the,-22.275044054416192
resume,-15.284083044693928
",",-47.41472953578414
and,-26.687032094474592
i,-20.97703293687472
',-43.659834947050705
ll,-20.730645878317976
create,-11.497892998623724
a,-12.100944124150889
summary,-26.488639855646664
for,4.08553361435799
you,12.783218853110743
.,-33.53336505101106
[SEP],-23.610021619422284
RACE=0,0.06405025084291305
GENDER=0,-0.17783225631342603
PARTY=0,-0.2374401227667775
