,overall_token_importance
[CLS],24.120923509066625
*,-18.1357608270153
*,-17.556144565812257
resume,39.03603434840226
summary,-50.14398809810367
for,-2.0158841039718034
brad,22.3727833635345
baker,-39.75322428471551
*,-21.496438038917727
*,-26.17808363066243
*,-25.842173786204743
*,-1.6569025324569835
contact,37.99797088500167
information,-12.667827023681824
:,-38.15090218245855
*,-18.550367281928054
*,-19.49634198019413
-,7.619669492122042
name,17.471216487917225
:,-15.281686189770792
brad,18.198094755533308
baker,-33.146456936332555
-,25.95167328417642
email,-2.4336685774237266
:,-18.543041956732637
brad,-4.649875832424209
.,-19.23236016021546
baker,-27.998996267717562
@,-17.629267557675007
yahoo,-26.688445781006454
.,-29.198748197181743
com,-0.7073243321770056
-,12.798460285263463
current,40.99802049253932
location,29.356366600308185
:,-13.468435267971063
doha,14.954418021597965
",",-16.75683535069918
qatar,12.462037997059692
-,12.571417182551205
nationality,27.182182635212122
:,-11.372088754575321
indian,38.58260306517604
-,19.014632637365438
date,22.233429303722485
of,50.499383990048635
birth,43.61750129578215
:,-5.058233640503151
14,-5.2308664029844705
-,15.921379724751544
05,-13.886884064134634
-,13.959090742199415
1987,26.808067553367337
-,22.569951269770648
visa,35.52271965652698
status,4.792002048205846
:,-12.039292439423988
yearly,24.817463042077502
work,4.516977013072486
visit,-27.818118479884667
*,-12.748142837208535
*,-11.977536190547514
professional,49.7003691890021
summary,-37.389968513254374
:,-30.49670113523715
*,-15.756456812877907
*,-10.922743074375486
brad,8.903670133147289
baker,-37.606786622075056
is,10.592532806600904
an,-1.4182766143967354
experienced,-1.0636586038991436
finance,119.86107541379101
professional,46.94789339591483
seeking,-43.08654188617111
a,-21.392677152299076
growth,3.3730836962100077
-,15.441573180377468
oriented,-7.948174912130011
position,7.605252553824296
in,36.58549331926796
a,-6.827343589788789
progressive,21.344841455332475
organization,61.29476581890747
.,-14.925864706978881
he,9.736914343407966
aims,-1.1702243996015267
to,3.0316570894061408
leverage,-37.35428608302301
his,-6.302237740315384
skills,3.842843370407945
in,53.34765661129401
accounting,94.01673606561815
and,12.2379681895712
finance,104.66686867318765
to,-15.602195690871975
contribute,-24.435282731464937
to,15.812022326794933
organizational,30.945899231481174
goals,-16.5546384958433
while,26.50897365976012
enhancing,8.669584359056898
his,-0.15326001289306915
career,3.3451732063967534
prospects,-6.960822589458351
.,-15.3934915261628
*,-12.414964785581583
