,overall_token_importance
[CLS],27.303241490206595
*,3.6275383718057235
*,12.68580921146815
resume,-40.56966444931096
summary,-49.33066956575127
for,-30.777909672808562
la,-6.454719202842191
##ton,-23.190440320084946
##ya,-10.44912726334694
washington,7.013091058825241
*,1.0615557753370708
*,2.4778413755297346
*,2.750773310044863
*,9.012762076927169
contact,-25.894832757431672
information,-24.469614963614383
:,-23.5617069787703
*,-0.7203561573447397
*,2.0944239471860673
-,-12.696330532757493
name,-10.59326107050456
:,-17.399725026613975
la,-7.296164536408515
##ton,-23.240836302597312
##ya,-20.710345611449544
washington,-6.326903654373033
(,-5.9762017502764015
she,-7.610196098998564
/,6.471522547339824
her,-13.808576594474877
),-9.563331061118248
-,-20.61954497327825
email,-22.533712410033974
:,-17.401314781790173
la,-7.174442597302864
##ton,-21.35334323859228
##ya,-13.04535362093206
.,-8.321721606925783
washington,2.4869280410845214
@,6.493004568927882
yahoo,25.106104098520877
.,28.670390859252144
com,8.756640146040938
*,-0.1893204813167427
*,7.522880222356472
professional,-10.612811277459139
summary,-51.16567125454943
:,-25.016310738289455
*,-3.5415731776909367
*,4.315790304507937
la,-4.013611154342808
##ton,-28.305161186705003
##ya,-17.476586330889244
washington,-10.526112780618998
is,-5.8027295832961885
an,-0.5518614086646995
experienced,-26.185430421334107
network,117.16923280821825
professional,15.676490444845173
with,4.183695239317356
a,8.768008067119053
strong,-8.976457303705466
track,16.156828884220033
record,-4.7950103513447075
in,2.6762824849288407
installing,8.810009590178028
and,-9.504640225258543
supporting,1.9061297192628377
multi,17.2784590033866
-,82.89183447405091
site,60.52178607242568
networks,83.4353297630972
.,-8.105309645203018
she,17.84824550355748
excel,-36.09663592353447
##s,4.4058565279113715
in,-7.092529226099659
managing,16.421347485617225
all,-13.312229535843517
phases,-29.668532645161417
of,39.51638349098914
network,92.61455593008928
installation,10.547607730763195
and,-17.28840553783734
administration,7.185149653469721
",",-8.892584225389108
analyzing,-15.891730095914776
business,84.22959843453135
requirements,1.6390359497462876
",",25.35820083267499
and,-24.089437017238946
developing,-50.40012513275469
technical,58.30688746164146
solutions,51.12435751627354
.,-8.119627102999306
la,-5.533224515076324
##ton,-17.922499332339942
##ya,-16.911991978602227
possesses,-27.282426300139015
excellent,-29.287332772773883
communication,63.28574934122104
skills,22.38517849415198
and,-25.353548922916453
is,-10.998698204291552
adept,-6.068624637123759
at,-0.3811032517082559
resolving,23.91063592370158
complex,34.45413133071833
technical,88.51624689036873
issues,21.412256680368877
to,-0.5278116598462798
enhance,0.11077480246972275
productivity,49.82452384264185
.,-8.335368625587739
*,-1.9563741435890618
*,14.169489786311711
key,25.310857092377127
skills,26.08826871260349
:,-3.09204658175064
*,-3.2389435175352386
*,15.00266778998164
-,23.768702483992172
remote,75.40424304688905
access,86.5371814059357
support,49.40740502628825
-,15.60606733719748
systems,101.86111849777976
analysis,61.019860824915305
-,16.208380436473114
prevent,73.25646125725423
##ative,78.4547522266887
maintenance,67.77792380998311
-,24.32032275032137
data,107.46688202744012
backup,60.728527049832856
and,27.21133556529151
recovery,74.6728761496101
-,17.639425546226157
wireless,82.52527209522634
access,79.41176586007745
point,78.70865821727575
management,58.051565541789024
-,23.545659370519402
performance,80.31157841437935
testing,21.595073850090746
-,26.18340121897805
user,77.58371644732544
account,45.52518724563627
creation,43.21593705224923
-,27.370030705908846
anti,80.47740738331258
##virus,62.96471775427304
and,39.01745319769202
spa,38.30821996684637
##m,73.71605772552103
blocking,61.53060805144811
-,25.404799950959593
vp,34.766754123094955
##n,103.96669305082077
configurations,59.531008044390745
-,7.054094705690484
lan,99.9073203104537
and,36.69242507471204
wan,97.05557974514875
expertise,36.9695077171815
*,12.390676353230003
*,24.03607638750859
work,66.10794125710598
history,-0.5835179898387282
:,-16.32096306615514
*,-0.28874779778746373
*,20.889491090796394
1,-12.349370150051175
.,5.29317613229548
*,9.420174648459014
*,38.279282521150705
information,117.18109786151318
technology,148.93281568366695
specialist,28.405575634446254
*,2.090419931663671
*,9.101750442652182
(,-1.291668155428916
08,-11.565960047534725
/,-21.162713797880937
2012,-11.417655190938827
-,-1.0001472010732972
present,-38.26626505024653
),-4.991631763012905
-,11.859989549156658
provides,4.05546679701776
support,17.471429826909286
to,-4.300309313380498
mission,45.187676322055324
partners,33.527102141135956
and,-19.031043558650847
customers,47.058354730756584
",",12.194209731867511
ensuring,26.319463823802508
system,84.28112936750045
confidential,44.217886155980516
##ity,47.7915580200018
and,4.49689796836277
integrity,51.906557407217115
.,19.605859584750725
-,19.79583091155087
troubles,26.326711435059302
##hoot,28.938034244602704
##s,29.724617863632016
hardware,75.33003921970969
/,38.14717621242845
software,54.431414261393826
",",19.16351490538353
manages,-5.959027944505071
installations,30.059788342160434
",",2.141593705255762
and,-7.343664576003293
performs,-15.990225835316394
security,65.22478781035265
inspections,-5.595870770544208
.,20.25908722507089
-,8.218438239072501
coordinates,-5.582612453151516
network,100.50654506228346
performance,56.69337276224906
monitoring,6.832366404441495
and,9.91728219367769
diagnostic,16.676483800313523
##s,55.96256917226986
",",7.461496321215865
and,-15.226797085563557
oversees,-24.92940427989128
incident,45.014993117660346
management,49.00823391083768
.,-6.85379528266505
2,-16.521590131195868
.,2.7943172649324555
*,8.117902014517336
*,27.838808263230597
computer,86.03650537803271
systems,121.50943517458704
administrator,9.46652240353883
*,-0.6106819946286324
*,5.6337139597527575
(,-5.688363045892427
12,-2.862716677099876
/,-19.747685974309785
2007,-56.75718315909028
-,-3.891900023470883
08,-25.858759575072863
/,-16.72529171849292
2012,-15.794260692472209
),1.810964530001771
-,11.50250232544906
deployed,30.49301489268883
computer,64.29784889110023
systems,50.34701749468144
and,-4.481372163627209
provided,-12.10940852769975
desktop,41.9269439760939
support,33.2196353788621
",",28.91917790767368
imaging,2.570684916120606
over,27.24918315206535
300,-14.471373280180847
devices,47.26950529735043
.,18.39870516004629
-,3.7415940948599946
led,17.029898160159565
the,56.86482260193214
deployment,49.46229281629741
of,59.23909841506883
sip,18.975876218375067
##rnet,70.94952665603482
works,69.62266929982236
##tation,48.16819749592865
##s,77.09056991205736
and,-10.089339452587918
performed,-8.076925767881457
security,47.94766731187567
scans,-10.611133560599683
on,8.036546568428054
classified,-3.897932414472388
systems,47.78644412104083
.,18.955632302374106
3,8.382247028866402
.,4.102473148766998
*,4.860844747007148
*,18.403190470277096
information,89.40016347538165
assurance,71.22403674215631
/,32.34150790631483
network,108.63937904679236
security,40.250319415529326
*,8.862987377263494
*,3.8541140895985664
(,-2.798661228703353
01,-16.28175354189746
/,-23.74994798822872
2006,-34.25126496308834
-,-0.766592412208451
12,-6.859134761254637
/,-21.66237560581749
2007,-44.977042135214994
),-1.3564645923262377
-,8.472574045963983
developed,-5.348829720747527
and,-1.259464573599155
maintained,-1.811848092844407
secure,52.7514887540033
networks,65.85146022422249
",",7.424134675689211
managed,-0.1488512948756145
compliance,77.54077289928107
orders,-10.76077597587495
",",1.9667736032897865
and,0.4418647411918826
monitored,-0.179726545792566
threats,43.942122436191454
.,29.042082478071006
