,overall_token_importance
[CLS],8.3035515790308
*,-13.97449971013072
*,4.711966525157369
resume,-18.77185736999788
summary,-23.554522325858247
for,-22.62386817848073
tyrone,-41.73733996090466
robinson,-16.521848191093433
*,-9.083153989982115
*,-8.377606001394714
*,-8.083084073929328
*,8.069122006129119
contact,-14.180343894819046
information,-5.66021158781916
:,-18.605071349051446
*,-15.937672728320193
*,-5.755939958277418
-,-8.541693427171447
name,-3.4524691173547204
:,-11.923022118792245
tyrone,-32.842425176922184
robinson,-8.581832942199556
(,3.3920533338124628
he,1.1455249604872442
/,21.48699164653882
him,-3.9737769420347884
),4.9220261220341515
-,-12.8804536191655
email,9.73354400293561
:,-0.41422283578171704
tyrone,-14.430937885793128
.,2.2450199040718717
robinson,-3.12728793192205
@,7.381091000233606
yahoo,26.407463532877937
.,30.85981800204285
com,11.344342892291245
*,-22.87781464456332
*,4.332602491323899
professional,-5.270086600883583
summary,-31.464910523899157
:,-16.947529770293595
*,-20.339801162318338
*,4.462684726454248
highly,-19.906690260303932
organized,-23.813579651326084
and,-12.007975878411559
detail,0.12582614216987928
-,19.799880815597138
oriented,-16.552983426571448
administrative,16.230544373173636
professional,-13.49686486682759
with,-4.775633069957127
over,11.61506121931361
10,-7.804301023002187
years,-17.049088071880302
of,12.25448794030904
experience,-0.1947340269015581
providing,-18.54302651973703
comprehensive,4.12172001217815
administrative,23.900484864317512
support,-5.206470982690976
to,-18.577295119138356
senior,21.33234632359847
executives,19.485515053963375
.,6.268165821076592
*,-26.90855310536389
*,2.2167588718072624
skills,-3.906421703012923
:,-11.049597098039047
*,-18.307617317868342
*,-5.583671788650593
-,-4.399269241849851
proficient,1.3207817181115626
in,22.882806814104608
microsoft,75.03562045049166
office,61.645775283875786
(,38.169309503597475
excel,41.48432965370906
",",51.50760415171927
publisher,22.44664022293043
",",56.27278795557507
power,54.444288816443866
##point,44.5904710887428
",",49.125560424787686
word,33.112977724221814
),7.88231403780361
-,-1.4136494967743372
filing,18.827550724175676
and,22.880843011493944
data,45.984419725439544
arch,45.2483348571514
##iving,56.14617282152086
-,-0.42965159032219613
employee,21.466903587608908
training,-28.631377295882373
and,-4.275949390703723
development,-16.900860297830327
-,-1.559102229546923
in,56.20059466683908
##vo,-5.050692655554316
##ice,21.85896681864063
processing,45.93033209178976
and,6.168864468403063
accounting,38.04254975035518
familiarity,10.988180379379623
-,-0.0054651409739499834
multi,49.408395421547695
-,51.59634877065438
line,29.712385830714616
phone,50.142612630388214
proficiency,21.229470141371646
-,2.030565549185131
database,48.56398595565581
management,35.58847673873327
-,-9.993586570712775
excellent,-10.997312551983478
planning,-12.950520656815584
