,overall_token_importance
[CLS],24.377141022884636
*,-13.812640392280152
*,9.158182196224889
resume,-26.25946380367515
summary,-19.778589188185126
for,-26.771702435934813
matthew,-26.06074020593913
o,5.355462639842631
’,10.828275898813272
brien,-6.088294369202709
*,-10.794194149247993
*,-10.570353309324377
*,-10.9091607801506
*,8.249354419608158
contact,-6.374364333266933
information,-3.363377069652688
:,-18.066305909903154
*,-15.27865948300707
*,-4.468612142828303
-,-11.844002514938284
name,-1.9425364810741899
:,-16.70299822396788
matthew,-21.593979009238105
o,3.7203620757183287
’,8.305688881001595
brien,-3.8382728997040414
(,2.0199753138749683
he,1.3653924589175441
/,17.81193915565129
him,-6.6639882741694
),0.6114335374792406
-,-16.8332996206339
email,14.530189388654424
:,-5.6735194192538705
matthew,-10.397496416429655
.,3.489892336198953
o,-3.913704046595908
’,10.157248283244895
brien,-2.9812800624478673
@,15.232557611264948
yahoo,56.172412779799544
.,40.644408287551286
com,27.096331563423668
*,-16.824378414498078
*,3.7445289776832893
professional,-8.158727242984202
summary,-36.431654284763425
:,-26.100872169588456
*,-20.560785958865125
*,-9.338730905192767
matthew,-24.18940030700866
o,2.4690798835539387
’,7.061157594441705
brien,-6.0228577351373485
is,-10.420251510012596
a,1.2067872032047202
highly,-27.46921817708767
skilled,-27.552925065491813
para,-14.287079103695662
##leg,-28.0301464496036
##al,-19.143715660147134
with,-3.9169024985206202
over,5.958130414510422
5,4.053030924062318
years,-5.933726268281457
of,-1.9653116782279687
experience,-1.7805841842215504
in,4.317350845623094
the,29.506193716358087
legal,31.41837385054342
field,27.757350560709167
",",14.688687853626352
specializing,8.53228351117392
in,5.883593137961052
investigative,8.482026401012378
and,2.253091125900444
online,24.051533407168478
legal,17.969530846965146
research,2.494350730435281
.,5.6986601773903836
he,-4.955997883485741
possesses,-19.377332366383282
comprehensive,-2.5321954585642454
knowledge,11.477287807188413
in,6.57077582041431
case,9.399196325478783
preparation,-43.74594327126185
",",10.612629937022536
court,5.7445718161304224
procedures,-20.863067869023034
",",22.162866995556815
and,-2.297779430717535
legal,9.739100394165733
documentation,-0.8699560481367966
.,6.018568055586507
matthew,-8.119831577600177
is,-6.834612576118428
detail,5.489452019618911
-,12.85768770805919
oriented,-13.449000474645919
",",10.0139699571653
with,-17.95356547748802
strong,-16.44503268851941
communication,16.441732795088242
and,-5.786289547470326
presentation,12.417605893879347
skills,4.078566087629838
",",15.290463237300548
and,-24.336097350413244
is,-7.9247293655866535
committed,-8.225435436016182
to,-5.654672908252628
excellent,-9.705490575353746
customer,32.84481482356678
service,22.928677022589504
.,6.580498706571588
*,-23.299717731318488
*,2.283240954847515
core,-5.408303650531256
qualifications,-25.345907187298874
:,-15.621115691411445
*,-25.88168055924596
*,-7.454463639048847
-,-7.622785672513409
proficient,-2.9049807346872467
in,10.862730890960142
legal,30.359245247820958
research,36.45976534184148
tools,27.790355038275727
(,35.046881101062205
lexi,25.56405058131185
##s,37.12636885785102
##ne,46.60482265499548
##xi,0.4835162637807491
##s,38.16413702489744
",",25.055925372736944
west,22.475613980939887
##law,28.969786720856376
),5.018372077637577
-,-16.63311212605961
knowledge,13.760267440418035
of,27.723534456978975
local,-2.798321569287609
",",23.45537462711845
state,-4.348304312785003
",",36.184131282120894
and,4.775822919194205
federal,-3.9302525221006768
laws,5.274849418966323
-,-12.189581718586469
experienced,-9.25328901381165
in,-5.944171456093128
court,12.007006748497043
procedures,-10.479707698043054
and,-14.46633489019666
legal,15.46503014567577
communication,17.985690600338685
-,-8.508395697827966
strong,-13.141102483977395
client,35.15784055629385
-,8.225820837589431
focused,-6.689697553938571
and,-6.505699184682471
results,20.07248576767788
-,35.9804901248665
oriented,11.421286892435097
approach,4.37180873736161
-,-10.423614911808983
proficient,-6.206056847681963
in,37.16230388799717
microsoft,104.90475187846714
office,97.4243099500984
suite,98.65459761058844
(,35.992638992235136
word,68.2198317520111
",",57.112910152934575
excel,54.11627094204479
",",51.42289184898085
power,67.47822268493736
##point,64.89792178471575
",",43.77179312457594
access,50.234468002243716
",",40.81287069002674
project,35.05154323731245
),-1.5361049890256306
*,-7.730577598457283
*,5.191926343937723
professional,5.772449237130291
experience,5.048117374356157
:,-7.847847602707139
*,-16.583066174810867
*,16.525147076923673
1,-1.6859616981375156
.,7.988925731571714
*,1.0252622827794549
*,15.942013523738831
