,overall_token_importance
[CLS],4.123104747162944
*,1.8126564789278599
*,13.87673065047132
resume,-58.31622098764058
summary,-40.82860551480934
for,-35.19519457862724
la,0.8584211850833665
##toy,-15.699582718943505
##a,-13.418831075026386
jackson,10.58509085350406
*,-2.8359101825249087
*,4.2877751650218014
*,3.4925879194077374
*,10.591844199652243
contact,-30.09366382845968
information,-26.996418233956213
:,-16.782113286689984
*,1.825243011170205
*,7.023035196895157
-,-8.450960438417418
email,-16.812585284594142
:,-13.722571115872778
la,-0.6908157893020838
##toy,-20.16138523324199
##a,-2.4418418365766263
.,-19.81807983419527
jackson,0.1684957163120282
@,6.9483596257593545
yahoo,22.556896769908366
.,22.65378545374717
com,-9.848101321624384
*,-2.110875797377953
*,12.063446790944448
professional,-22.40104766653117
summary,-45.01501532715061
:,-19.355033576391556
*,-0.5983453568051301
*,5.9192633996923405
la,1.5911544506125417
##toy,-17.480607161594012
##a,-15.978599965988067
jackson,21.128273735999663
is,-23.267129691275272
a,-13.729165469021659
master,-33.77304558600664
teacher,-61.97792424218522
seeking,-34.493597398556936
a,-16.577666760652747
new,-19.686157092290507
role,-21.96205508516237
in,-15.31780040349007
an,-14.981076943287244
executive,-10.036013667628218
or,-16.54299208092803
leadership,-2.8772134683536885
position,-31.36938329245118
.,-14.819727133927497
she,-13.49976503621633
aims,-36.28352384331326
to,-11.018191808298358
leverage,0.6782699924819308
her,-15.293950610242451
extensive,-7.753870425221592
teaching,-51.60404967001039
experience,-8.540784523062047
and,-8.666689987446633
skills,-5.1067334334500725
in,3.0410137876730934
instructional,-47.59347120618828
design,-10.008454705929324
",",10.00961488561028
management,0.2885733636010491
",",16.297614072615143
and,2.0042588131088825
financial,-17.594098133440212
analysis,0.27832667934133104
to,-11.942353313273582
benefit,-11.551950242762276
a,-2.8250786418683056
new,-3.243543974873044
organization,-9.10892262592276
.,-14.760582949523126
*,-6.461601203520423
*,2.9966870547286355
key,-2.696428456069419
skills,-3.072011776732341
:,-3.738532173690616
*,-0.3737179165790275
*,4.230498683793523
-,-2.7817277166289935
instructional,-44.93643187289172
design,-20.11306724179836
",",18.9588904883718
teaching,-46.063981535437556
",",29.241577518793388
progress,-36.093697135056324
monitoring,-17.16500708483852
",",31.104537213683134
course,-17.873843194763136
development,-5.841178064826313
-,6.803097467957665
proficient,17.103188333084972
in,18.684767864062557
ever,24.07367894944229
##note,13.068951379051585
",",47.52823443557252
slack,26.036451153004062
",",46.34229810314187
social,55.630578948704205
media,29.01233828293996
",",67.04935307853637
excel,25.47918910358993
",",63.52680197916091
outlook,28.69898654674978
",",50.04284983715094
adobe,29.941786845940772
photos,17.252097838233112
##hop,64.27830380310544
-,13.870958285642606
management,11.510267340883653
of,18.145673039236343
staff,-24.16869338065341
",",0.5732878223758264
projects,-11.151761067612306
",",4.45339240684861
and,-15.744332319786647
daily,-19.620229798374886
scheduling,-16.535045881574344
-,12.172851827383761
financial,-29.101220993045448
analysis,19.528164556311296
",",43.00937513967319
security,7.16228571892915
trading,1.9787009220464225
",",45.729125735596234
portfolio,-18.19409195935651
management,28.92026966228953
",",44.637065926818316
liability,0.5563413645353734
st,35.65648056283628
##ru,20.120907017522885
##cturing,41.56490423245477
-,8.472131917221134
research,-16.22565275736324
",",2.201596810324169
analysis,-8.03804173789977
",",-5.983780772602314
and,-5.65556235695631
planning,-20.255969015744505
*,10.712612163678667
*,15.452136280402861
work,-8.536476035242154
history,-27.422125098056767
:,-20.674478369135038
*,-5.388847456102542
*,19.096588404305418
1,-15.747546991404745
.,-5.669967043441418
*,5.911146254612467
*,22.05079150950023
teacher,-62.60044890433598
*,-11.410541114064083
*,4.409858649717069
(,-6.193988175765512
08,-36.21000059492857
/,-25.1994966486013
2014,-17.350959851431067
-,-25.210507119109504
present,-55.5253544984667
),7.0981988357748875
-,-3.9496217846597137
developed,-29.238923111087203
and,-13.238248710681015
implemented,-12.33705082591651
lesson,-46.002810532802286
plans,-76.59877566498356
aligned,-28.67652886674535
with,-31.849264613433082
academic,-21.62995759219796
standards,-41.9690783496623
.,1.183943177584627
-,-8.959953851711964
monitored,-56.837641208584095
student,-49.60244362387786
progress,-77.01149341026041
and,-40.64811003385048
provided,-51.15476229512722
timely,-35.45023389474071
feedback,-53.817548793805145
.,-0.7885429696388634
-,-7.289213442181408
established,-11.621262167626725
a,-18.44489095438554
supportive,-40.874497859852774
classroom,-52.44183884037034
environment,-37.91921490873506
and,-34.17149206886576
facilitated,-44.27841297902064
ie,23.478745731996558
##p,-22.316752203985182
meetings,-33.03013940929706
.,-1.4621549641884632
-,-5.226649586446783
foster,-38.51272382181336
##ed,-26.745459898681847
collaboration,-3.5896421231659636
through,-29.4536969758497
group,-34.26721826087112
projects,-32.8372806958562
in,4.466558503521651
various,-36.54158562487888
subjects,-28.868145035567736
.,-13.09803573084016
2,-19.518060023816876
.,-9.807545578614802
*,2.4399606094107837
*,9.11422218077787
robotics,3.0049464768112113
and,-1.4152800479951506
design,15.2046320809883
instructor,-51.57443168638533
*,-20.17599776127787
*,-0.992044950915187
(,-18.862737336020942
08,-32.710534369655285
/,-9.57261972342867
2012,-9.256893018613601
-,-6.908302615261505
09,-34.49118237067428
/,-17.1004563725572
2014,-20.13263323201442
),-11.828953907045369
-,-8.267964967954088
delivered,-42.304193731479465
lectures,-60.64385977516926
on,18.854776979665047
robotics,19.044539118986386
and,-5.886826823392981
programming,17.57111507573932
.,-5.697475988029753
-,-12.113479721028025
adapted,-37.04876626516751
curriculum,-62.46981839603071
for,-39.95391042913864
diverse,-32.60351280831259
learners,-39.28092865673234
and,-47.672317459404944
participated,-50.07181316039992
in,-36.273506138732785
professional,-22.24538537548038
development,-32.694645080988856
workshops,-51.17443933348863
.,-7.792141539628461
3,8.31420427106584
.,-11.922978217810082
*,2.644859480543097
*,7.637378191555961
executive,-13.396159197039545
advisor,-48.79916599246401
*,-26.342116600319525
*,-8.228976981074693
(,-17.33284918524445
08,-34.20270454426949
/,-24.175186932801726
2015,-25.799290615765763
-,-24.267100239964105
present,-52.288470457372625
),-3.521243472223848
-,-8.273080120367803
managed,-27.39235874304292
portfolio,-37.92120389550003
##s,-4.553643442979735
achieving,-12.87368941257921
20,-28.77089658393492
-,-15.110052196825055
25,-23.68126220467946
%,-16.3697228892071
annual,-28.60989649709607
returns,-21.68924762949042
over,-3.7237242202903977
five,-13.465234843668616
years,-20.64071775523351
.,-3.158709832575262
-,-13.067963401348273
provided,-20.09630695589875
relocation,-13.843244829279065
services,-9.918097332228808
and,-17.79201838162549
developed,-11.239742067553074
con,4.114457618367728
##ting,3.5706037253076244
##ency,16.96679647407454
strategies,-17.974758564196563
for,-15.622165863770501
clients,-21.13949783218246
.,4.933789626022443
-,-7.126276251467504
planned,-12.922987485385685
large,13.956952417231623
-,20.585050624574134
scale,11.762372134083783
events,-10.080111356340266
that,6.59234182007069
increased,-12.347824192030219
revenue,-17.93948131662021
by,-16.58485967675855
15,-19.647682336638113
%,-9.690752571589497
and,-17.723467391371695
improved,1.5531875000305166
office,-5.04399259344289
efficiency,-9.383948197155972
through,-6.183555179339315
process,-10.938915845475957
automation,28.137792288247034
.,-14.069863085077802
*,-9.859009535234838
*,-2.5552576073933593
education,-27.399224454985053
:,-22.302487715591656
*,-19.407726040022567
*,-3.308545022276027
-,14.6201836288863
m,4.989480859588118
.,31.53006288412714
ed,12.499635709665656
.,12.461766847990319
in,4.225545200267253
teaching,-32.63882472366574
",",15.198950256528608
university,-7.476205004558737
of,-0.3501547421690989
california,-6.428978824783074
-,-0.9597750983044331
los,-21.263147790035646
angeles,-7.059423650711154
",",6.841413455144809
2016,-18.204875147415603
-,-0.8280422358336076
b,-0.7416406938960779
.,18.54822609568248
a,1.68130562110133
.,10.019584668243702
in,-0.4543481646218288
psychology,-39.84938164273157
",",9.21685338547623
the,-13.58688372837326
university,-9.778832942915887
of,-2.322670207429677
new,-8.022725110731265
mexico,-22.109840552476957
",",-4.60183712885256
2003,-33.081416832532916
-,-15.096013771612645
studio,0.7159682611432007
arts,-6.83587528407004
",",4.681087079779522
santa,-22.665033667811237
monica,-6.641894426770274
college,-38.08583047419302
la,-4.670629162912812
##toy,-12.294252290127181
##a,-7.56353895878927
',-10.299990416291141
s,-7.609495097295905
diverse,-13.13842532991459
experience,4.139357041696847
in,-3.765548559972751
education,-21.910004593657963
and,-15.875454863517316
executive,6.644673504323556
advisory,-7.656106022701117
roles,-29.380415933452017
",",-9.89815241673673
combined,-18.521765367803795
with,-24.11715825831744
her,-17.649386253657273
strong,-13.250048199595428
skill,19.36892124894655
set,20.77123498873591
",",-4.386714584299455
